"mes" "BVSP_coeficiente_B" "BVSP_volatilidade" "Bens.Indls...Mat.Transporte_coeficiente_B" "Bens.Indls...Mat.Transporte_volatilidade" "Cons.N.Básico...Alimentos.Processados_coeficiente_B" "Cons.N.Básico...Alimentos.Processados_volatilidade" "Cons.N.Cíclico...Bebidas_coeficiente_B" "Cons.N.Cíclico...Bebidas_volatilidade" "Cons.N.Cíclico...Fumo_coeficiente_B" "Cons.N.Cíclico...Fumo_volatilidade" "Cons.N.Cíclico...Pr.Pessoal.Limp_coeficiente_B" "Cons.N.Cíclico...Pr.Pessoal.Limp_volatilidade" "Const.e.Transp...Constr.e.Engenh_coeficiente_B" "Const.e.Transp...Constr.e.Engenh_volatilidade" "Utilidade.Públ...Água.Saneamento_coeficiente_B" "Utilidade.Públ...Água.Saneamento_volatilidade"
45 1.14769965412658 0.859116226343851 1.08076132295423 0.895873645285011 1.12253389076893 0.888858664611704 1.9957117457861 0.49739791937378 1.22826053676994 0.794382348776196 0.971276553890062 1.00395104423911 1.00616005335458 0.970530374763382 1.26511215961777 0.780844441269022
46 1.22962964660744 0.814453221280865 1.17809710628221 0.826530114159703 1.19562477718234 0.823608478568952 1.9695442671829 0.502756160511856 1.29159424815212 0.770967930110966 1.03096707770853 0.937700290191662 1.09480864645592 0.919419608802277 1.28264515352588 0.779886387591404
47 1.249285586591 0.789490636144071 1.26575709014451 0.781716421480239 1.2288472201487 0.803997163214378 1.97763631935744 0.514944962257467 1.29249041933829 0.763725377841034 1.07168031785451 0.89761263579234 1.1513654341667 0.879653328365141 1.27302188022968 0.805834427661982
48 1.30758010946906 0.75344245074204 1.18561020973415 0.815860691681281 1.28747954231914 0.782631544312201 1.86268008348848 0.555259161544779 1.23333625003121 0.804347315629619 1.08879539306445 0.878881333312855 1.17883592997485 0.848731182557324 1.27138620042402 0.801068838523385
49 1.33913899348264 0.745301492437217 1.16768466499883 0.828231948138116 1.27080675506552 0.78944336164425 1.83570478002614 0.561818945288212 1.21448253745086 0.809336605709316 1.06997991266138 0.908172807814237 1.24827861697246 0.817939498373299 1.31787169031642 0.782577542712531
50 1.36299807872862 0.742810279557479 1.20745751488419 0.800420707283387 1.30552845541074 0.766095963821783 1.79162836711043 0.574510848783409 1.21962778633367 0.797288562434377 1.06397708368764 0.898374290282854 1.30646318547565 0.778429440610097 1.35740646818391 0.750198423324634
51 1.39921742791948 0.73211305841842 1.24814072300618 0.781668539174706 1.35166610108242 0.736823649802039 1.91152539864417 0.545093853293814 1.2801500453751 0.769235585797144 1.07439522052047 0.897326423914272 1.37252562138651 0.744813662682075 1.33642323606184 0.759406703626112
52 1.3598067911649 0.744900309628616 1.17969199840815 0.815886253820796 1.33237278536339 0.747821073957156 1.84760100461747 0.561535238868309 1.25380501474964 0.775133901158881 1.07426666329829 0.893936927151284 1.41509181644476 0.723473569437233 1.34495876898474 0.75050057810716
53 1.40478690602996 0.716066833322441 1.21997931869963 0.79898849376183 1.41677073553871 0.705226751462388 1.85180119751446 0.565436959752453 1.28385055058388 0.744555330021401 1.07876155400564 0.897542985279777 1.5305526456114 0.668994381210013 1.33864216039287 0.754810862236842
54 1.38584024133858 0.729193735405595 1.23831283863496 0.787842237304809 1.47775968527427 0.673458244178903 1.85520340494468 0.560481188631763 1.38563370481573 0.698520872688056 1.07895620330578 0.90724255097827 1.52836196623854 0.677127019407884 1.26902041392389 0.810131812503289
