"combinacao","learnParams","porc_teste","iteracao","neuronio","sse_treino","sse_teste","mape_treino","mape_teste","mse_treino","mse_teste","POCID_treino","POCID_teste","nmse_treino","nmse_teste","arv_treino","arv_teste","setor","variavel_entrada"
1,0.3,0.25,2200,5,0.0488173951669642,0.0330053213501547,3.01831481169559,5.31286842566331,0.00108483100371031,0.00206283258438467,95.4545454545455,80,0.00168426254787505,0.00374519603292044,0.0645851045837789,0.147006075250902,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0341001177620568,0.0300243256683591,2.81369896556478,3.75016247512243,0.000757780394712374,0.00187652035427244,97.7272727272727,100,0.0012724709580816,0.00284238594469707,0.0437215734689379,0.112981180618676,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0360812999618689,0.0235326565584335,2.70226611149539,3.77365323960563,0.000801806665819308,0.00147079103490209,95.4545454545455,93.3333333333333,0.00132797923902655,0.00225409203669897,0.0478021606957231,0.0811743534492691,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.05492191517241,0.0236949066032003,3.3497231315924,3.86905522199123,0.00122048700383133,0.00148093166270002,97.7272727272727,80,0.00198121171776433,0.002448961595796,0.0842429796088254,0.0758442467202246,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0400533943160948,0.0215787105446756,2.86108880817044,4.27733203852346,0.000890075429246551,0.00134866940904223,93.1818181818182,100,0.00143754186443046,0.00224811292936105,0.0423401306782412,0.100995295782252,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0439980314038209,0.0246847853252974,2.99782952171524,4.04277907943572,0.00097773403119602,0.00154279908283109,93.1818181818182,86.6666666666667,0.00159361915801546,0.0024937526538035,0.0556926372584977,0.0970224922675966,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.044057706904494,0.0308613319025283,2.77455600371855,4.93471400759528,0.0009790601534332,0.00192883324390802,93.1818181818182,93.3333333333333,0.00154521413422044,0.00331051767665281,0.0601142810048995,0.114570620852943,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.041908320976164,0.0146634252573579,2.95913126854021,2.81338673103404,0.000931296021692534,0.000916464078584868,93.1818181818182,100,0.00153029770352238,0.0014240766486749,0.0521166588437613,0.0741676943701438,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0446129855440128,0.0522571960331931,3.09253959960021,5.74726240512499,0.000991399678755841,0.00326607475207457,90.9090909090909,93.3333333333333,0.00165735830893992,0.00496476221050894,0.0660856436142528,0.155529517792127,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0388786856491011,0.0216266411665214,2.77140142429509,3.7569519835214,0.000863970792202248,0.00135166507290759,90.9090909090909,100,0.00142207688896429,0.00206011459185363,0.0519819028115241,0.0984992637308362,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0414292141551579,0.0178641515606909,2.69383014005847,3.6734854018564,0.000920649203447954,0.00111650947254318,88.6363636363636,93.3333333333333,0.00147668623238284,0.00180391142961661,0.0510266361663714,0.101016607161732,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0328830845102329,0.0447670403371155,2.79076691255099,4.89382261648764,0.000730735211338509,0.00279794002106972,93.1818181818182,93.3333333333333,0.00120347540675011,0.00427060461547954,0.0502478905708165,0.18815410467556,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0512596088605656,0.013258366902322,3.05422624880236,3.01315368132254,0.00113910241912368,0.000828647931395125,93.1818181818182,86.6666666666667,0.00187230174993502,0.00123799768962351,0.0669101670900051,0.0766490610160003,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0409825598800503,0.0224549716258751,2.71207840277709,3.61979847530496,0.000910723552890006,0.00140343572661719,95.4545454545455,86.6666666666667,0.0015040840660765,0.00216241008249579,0.0595173416745894,0.0738522019142126,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0504431433714636,0.0203072786248157,3.00393461479293,4.03221194558124,0.00112095874158808,0.00126920491405098,100,93.3333333333333,0.00170394244934798,0.00240679669866548,0.0658471230418322,0.120591056750228,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.058159255863162,0.0192268987376162,3.44913081162273,3.2678060436703,0.00129242790807027,0.00120168117110101,88.6363636363636,93.3333333333333,0.00218271022142041,0.00170028230192312,0.090163059201666,0.0990358253607109,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0577331253246982,0.0650891380895386,3.36100895108894,7.61838727860787,0.00128295834054885,0.00406807113059616,90.9090909090909,100,0.00207499116526347,0.00636890410814613,0.0857518320080566,0.306540256449754,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0460348349155282,0.0117708753576793,3.00685892048833,3.03447574824335,0.00102299633145618,0.000735679709854958,95.4545454545455,100,0.00158529172422631,0.00137702184284738,0.064847273396283,0.0420861701673623,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0431943181074514,0.0516966784232674,3.12272208280294,5.52046476540932,0.000959873735721141,0.00323104240145421,97.7272727272727,93.3333333333333,0.00157783721281861,0.00504621570040464,0.0652375569689735,0.195987828158726,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.043854109912331,0.0194062852604704,2.87510117890198,3.67821927361874,0.000974535775829578,0.0012128928287794,97.7272727272727,86.6666666666667,0.00157177174801178,0.00201744572984004,0.0560648772767752,0.0815036507930438,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0417624742512331,0.021120835043751,3.10916512990982,2.88766911582828,0.000928054983360736,0.00132005219023444,88.6363636363636,93.3333333333333,0.00157024446323499,0.0018686689877636,0.0603183334813548,0.105285618827486,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0485816672672929,0.0153432790002323,3.12609416749179,3.29582952594534,0.00107959260593984,0.000958954937514521,100,100,0.00172284947407934,0.00168314391778479,0.0574982101283454,0.0621220163491726,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0408422900494818,0.0228948309721765,2.77739054821483,4.02131955885148,0.00090760644554404,0.00143092693576103,100,93.3333333333333,0.00152725590026031,0.00209096689408119,0.0525249676499924,0.114161225497529,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.043850876953193,0.0171121006166212,2.74999519938874,3.8185074660439,0.000974463932293178,0.00106950628853883,97.7272727272727,93.3333333333333,0.00147288510245654,0.00208013886655982,0.0611452056168936,0.0769917310324219,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
1,0.3,0.25,2200,5,0.0449505421682922,0.0181119467178998,2.9478046186294,3.20814011575443,0.000998900937073159,0.00113199666986874,93.1818181818182,86.6666666666667,0.00159956900068187,0.00186999264758574,0.059091964821083,0.0695325275859794,"Const.e.Transp...Constr.e.Engenh","Coeficiente B"
